  Conway's Game of Life Data 
  Format: Iteration number, total number of living cells, total number of dead cells, cells born this generation, no of cells that died this generation, activity * 100000 
                     
1,140484,219516,6653,7774,1111111111
2,139788,220212,6139,6835,-495
3,139392,220608,5672,6068,-283
4,139496,220504,5563,5459,74
5,139589,220411,5298,5205,66
6,139725,220275,5045,4909,97
7,139985,220015,4810,4550,186
8,140340,219660,4710,4355,253
9,140559,219441,4536,4317,156
10,140804,219196,4340,4095,174
11,141217,218783,4399,3986,293
12,141605,218395,4254,3866,274
13,141984,218016,4206,3827,267
14,142321,217679,4130,3793,237
15,142599,217401,4040,3762,195
16,142739,217261,3890,3750,98
17,142921,217079,3856,3674,127
18,143090,216910,3853,3684,118
19,143444,216556,3828,3474,247
20,143704,216296,3808,3548,181
21,144026,215974,3686,3364,224
22,144222,215778,3571,3375,136
23,144521,215479,3664,3365,207
24,144768,215232,3553,3306,170
25,144935,215065,3557,3390,115
26,145142,214858,3512,3305,142
27,145285,214715,3436,3293,98
28,145585,214415,3552,3252,206
29,145755,214245,3412,3242,116
30,145833,214167,3306,3228,53
31,146017,213983,3318,3134,126
32,146261,213739,3405,3161,167
33,146434,213566,3348,3175,118
34,146573,213427,3352,3213,94
35,146747,213253,3351,3177,118
36,146918,213082,3337,3166,116
37,146935,213065,3161,3144,11
38,147075,212925,3240,3100,95
39,147175,212825,3197,3097,67
40,147333,212667,3231,3073,107
41,147372,212628,3114,3075,26
42,147574,212426,3167,2965,137
43,147780,212220,3193,2987,139
44,147812,212188,3065,3033,21
45,147922,212078,3150,3040,74
46,147884,212116,3073,3111,-25
47,147977,212023,3026,2933,62
48,148135,211865,3154,2996,106
49,148217,211783,3020,2938,55
50,148291,211709,3042,2968,49
51,148563,211437,3139,2867,183
52,148774,211226,3123,2912,142
53,148946,211054,3077,2905,115
54,148994,211006,2999,2951,32
55,149232,210768,3117,2879,159
56,149258,210742,2990,2964,17
57,149339,210661,2982,2901,54
58,149424,210576,2962,2877,56
59,149470,210530,2864,2818,30
60,149549,210451,3001,2922,52
61,149547,210453,2902,2904,-1
62,149701,210299,2962,2808,102
63,149776,210224,2883,2808,50
64,149788,210212,2884,2872,8
65,149788,210212,2838,2838,0
66,149991,210009,2895,2692,135
67,149985,210015,2877,2883,-4
68,150032,209968,2813,2766,31
69,150088,209912,2776,2720,37
70,150173,209827,2818,2733,56
71,150319,209681,2836,2690,97
72,150433,209567,2876,2762,75
73,150640,209360,2801,2594,137
74,150558,209442,2770,2852,-54
75,150560,209440,2791,2789,1
76,150628,209372,2834,2766,45
77,150676,209324,2791,2743,31
78,150605,209395,2707,2778,-47
79,150760,209240,2846,2691,102
80,150844,209156,2822,2738,55
81,150844,209156,2736,2736,0
82,150800,209200,2739,2783,-29
83,150908,209092,2781,2673,71
84,150895,209105,2731,2744,-8
85,151063,208937,2843,2675,111
86,151082,208918,2734,2715,12
87,151157,208843,2819,2744,49
88,151190,208810,2723,2690,21
89,151171,208829,2721,2740,-12
90,151297,208703,2785,2659,83
91,151292,208708,2737,2742,-3
92,151441,208559,2764,2615,98
93,151349,208651,2689,2781,-60
94,151220,208780,2583,2712,-85
95,151342,208658,2756,2634,80
96,151375,208625,2778,2745,21
97,151358,208642,2715,2732,-11
98,151378,208622,2694,2674,13
99,151486,208514,2752,2644,71
100,151638,208362,2714,2562,100
101,151656,208344,2677,2659,11
102,151782,208218,2707,2581,83
103,151848,208152,2675,2609,43
104,151841,208159,2586,2593,-4
105,151905,208095,2663,2599,42
106,151948,208052,2646,2603,28
107,152048,207952,2692,2592,65
108,151951,208049,2559,2656,-63
109,151938,208062,2626,2639,-8
110,151994,208006,2702,2646,36
111,152169,207831,2678,2503,115
112,152168,207832,2669,2670,0
113,152177,207823,2558,2549,5
114,152182,207818,2632,2627,3
115,152018,207982,2519,2683,-107
116,152140,207860,2636,2514,80
117,152127,207873,2665,2678,-8
118,152224,207776,2657,2560,63
119,152237,207763,2694,2681,8
120,152281,207719,2639,2595,28
121,152268,207732,2593,2606,-8
122,152273,207727,2602,2597,3
123,152268,207732,2623,2628,-3
124,152319,207681,2626,2575,33
125,152299,207701,2583,2603,-13
126,152377,207623,2542,2464,51
127,152455,207545,2630,2552,51
128,152456,207544,2556,2555,0
129,152624,207376,2642,2474,110
130,152797,207203,2683,2510,113
131,152697,207303,2543,2643,-65
132,152715,207285,2559,2541,11
133,152706,207294,2611,2620,-5
134,152674,207326,2590,2622,-20
135,152585,207415,2525,2614,-58
136,152563,207437,2531,2553,-14
137,152520,207480,2564,2607,-28
138,152659,207341,2714,2575,91
139,152669,207331,2609,2599,6
140,152633,207367,2558,2594,-23
141,152707,207293,2580,2506,48
142,152814,207186,2636,2529,70
143,152787,207213,2575,2602,-17
144,152734,207266,2552,2605,-34
145,152809,207191,2610,2535,49
146,152932,207068,2621,2498,80
147,152924,207076,2564,2572,-5
148,152884,207116,2529,2569,-26
149,152912,207088,2572,2544,18
150,152940,207060,2607,2579,18
151,153016,206984,2600,2524,49
152,153120,206880,2656,2552,67
153,153046,206954,2569,2643,-48
154,152980,207020,2522,2588,-43
155,153041,206959,2544,2483,39
156,153012,206988,2536,2565,-18
157,152979,207021,2556,2589,-21
158,152998,207002,2566,2547,12
159,152995,207005,2549,2552,-1
160,152985,207015,2460,2470,-6
161,152971,207029,2500,2514,-9
162,153071,206929,2596,2496,65
163,153122,206878,2554,2503,33
164,153073,206927,2481,2530,-32
165,153047,206953,2481,2507,-16
166,153131,206869,2518,2434,54
167,153132,206868,2550,2549,0
168,153192,206808,2564,2504,39
169,153161,206839,2537,2568,-20
170,153197,206803,2533,2497,23
171,153321,206679,2496,2372,80
172,153338,206662,2583,2566,11
173,153335,206665,2540,2543,-1
174,153335,206665,2576,2576,0
175,153362,206638,2600,2573,17
176,153454,206546,2574,2482,59
177,153552,206448,2562,2464,63
178,153601,206399,2514,2465,31
179,153609,206391,2486,2478,5
180,153666,206334,2578,2521,37
181,153711,206289,2450,2405,29
182,153635,206365,2442,2518,-49
183,153706,206294,2558,2487,46
184,153566,206434,2435,2575,-91
185,153540,206460,2530,2556,-16
186,153461,206539,2420,2499,-51
187,153468,206532,2500,2493,4
188,153422,206578,2504,2550,-29
189,153401,206599,2554,2575,-13
190,153460,206540,2561,2502,38
191,153348,206652,2399,2511,-72
192,153456,206544,2585,2477,70
193,153440,206560,2497,2513,-10
194,153511,206489,2506,2435,46
195,153552,206448,2553,2512,26
196,153618,206382,2472,2406,42
197,153593,206407,2452,2477,-16
198,153599,206401,2471,2465,3
199,153677,206323,2486,2408,50
200,153688,206312,2528,2517,7
201,153798,206202,2579,2469,71
202,153764,206236,2419,2453,-22
203,153799,206201,2507,2472,22
204,153766,206234,2506,2539,-21
205,153806,206194,2514,2474,26
206,153724,206276,2420,2502,-53
207,153729,206271,2482,2477,3
208,153677,206323,2422,2474,-33
209,153571,206429,2435,2541,-68
210,153619,206381,2483,2435,31
211,153567,206433,2423,2475,-33
212,153595,206405,2475,2447,18
213,153663,206337,2518,2450,44
214,153709,206291,2471,2425,29
215,153752,206248,2495,2452,27
216,153698,206302,2452,2506,-35
